has_mfa,mfa_coverage,patch_days,training_percent,has_irp,vulnerabilities,employees,industry_code,breach_occurred
1,67,30,19,0,3,387,0,0
1,86,30,82,1,17,403,0,0
0,0,14,57,1,26,19,2,1
1,45,30,79,1,42,367,4,0
1,83,7,68,1,31,484,4,0
0,0,30,68,0,32,453,2,1
0,0,90,11,0,27,137,3,1
0,0,30,38,1,41,188,0,1
0,0,90,77,0,40,414,0,1
1,41,30,74,1,35,401,2,0
1,48,90,92,0,5,202,2,1
1,76,60,35,1,15,101,3,1
1,59,7,98,1,33,378,4,0
0,0,60,19,1,22,240,1,1
1,68,7,62,1,49,87,4,0
1,40,30,88,1,41,94,0,0
1,94,90,68,0,23,39,2,1
0,0,14,31,0,48,222,3,1
1,45,30,60,0,12,58,4,0
1,76,60,57,1,17,274,3,0
1,92,90,30,0,12,154,4,1
0,0,60,31,1,48,78,0,1
1,44,30,39,1,36,67,1,0
0,0,60,34,0,42,194,3,1
0,0,30,37,0,38,71,3,1
1,90,60,74,1,41,488,1,0
0,0,180,54,1,16,317,3,1
0,0,60,77,0,14,454,3,1
0,0,90,16,1,17,305,4,1
1,59,7,58,1,22,175,4,0
1,92,60,18,0,29,180,1,1
0,0,90,45,1,33,72,0,1
1,63,7,92,1,3,156,3,0
0,0,90,10,1,2,493,0,1
0,0,30,19,0,6,315,1,1
0,0,60,45,0,17,170,1,1
1,64,90,82,0,41,150,4,1
1,89,60,55,0,6,343,3,0
0,0,7,41,0,39,106,2,1
0,0,60,41,1,5,455,1,1
1,78,30,15,1,21,230,3,0
0,0,90,57,0,0,52,0,1
0,0,30,47,0,3,442,4,1
1,86,30,26,0,45,301,0,1
1,82,60,83,0,48,387,1,0
1,89,30,36,1,49,117,1,0
1,62,60,63,1,42,275,0,0
1,83,60,59,1,28,104,1,0
0,0,90,44,1,20,271,3,1
1,59,60,94,1,25,322,1,0
1,62,30,34,0,13,394,4,1
1,84,14,37,0,8,80,3,0
1,91,14,24,1,46,451,2,0
0,0,14,13,1,11,228,1,1
1,89,14,82,1,41,30,1,0
1,81,60,36,1,5,101,4,0
0,0,60,35,0,19,136,4,1
1,94,30,28,0,23,89,0,1
1,47,90,26,0,26,321,0,1
1,89,180,52,0,37,247,0,1
1,60,90,50,0,7,480,4,0
1,40,60,51,1,0,381,0,0
1,94,30,59,1,48,413,0,0
1,47,30,93,1,48,495,2,0
0,0,7,49,0,23,191,0,1
1,71,30,48,1,46,34,1,0
1,77,90,32,1,6,165,4,1
0,0,90,61,0,18,14,3,1
1,86,14,56,0,21,129,2,0
0,0,30,72,0,34,286,4,1
1,86,90,78,1,29,27,4,1
0,0,7,52,1,28,440,1,1
1,40,30,57,1,21,207,0,0
1,94,90,43,1,10,66,1,0
1,94,30,49,1,19,102,0,0
0,0,7,84,1,28,28,0,1
1,82,30,70,0,40,393,4,0
1,49,90,59,1,41,362,0,1
1,69,60,76,0,33,202,2,0
0,0,14,71,0,0,246,2,1
1,57,30,67,1,30,396,2,0
0,0,30,42,0,29,435,4,1
1,65,60,84,1,47,286,1,0
1,47,60,25,1,17,236,3,1
1,86,7,91,0,16,242,0,0
1,79,90,57,1,37,49,3,1
1,88,7,19,0,13,332,1,0
1,51,30,91,1,22,162,1,0
0,0,7,47,0,24,136,4,1
1,47,30,28,1,14,246,2,1
1,64,30,45,1,45,495,2,0
1,85,30,68,1,21,64,1,0
1,43,14,72,0,2,477,4,0
1,72,60,86,0,18,445,4,0
1,40,7,55,0,43,181,0,0
1,58,60,12,1,33,118,2,0
0,0,90,83,0,34,363,1,1
0,0,30,74,0,49,478,3,1
1,53,30,17,0,0,193,2,0
1,92,30,60,1,20,448,0,0
0,0,7,90,0,28,377,4,1
1,44,30,82,0,5,480,1,0
1,80,60,15,1,36,207,2,0
1,65,60,98,0,0,380,3,0
0,0,14,48,0,0,382,0,1
0,0,90,69,1,26,470,0,1
1,89,30,37,1,20,96,2,0
1,45,90,63,1,15,210,3,1
1,48,60,46,0,43,346,0,1
0,0,60,18,0,39,331,1,1
1,80,14,91,1,25,284,0,0
1,64,14,65,0,15,220,3,0
0,0,180,68,0,27,400,4,1
1,52,14,94,1,0,127,4,0
0,0,180,11,0,35,200,2,1
1,92,30,70,0,9,51,3,0
1,52,14,67,0,42,51,0,0
1,70,7,69,0,16,324,0,0
0,0,14,49,0,22,285,4,1
0,0,90,45,0,6,338,4,1
0,0,30,46,1,43,26,1,1
1,73,30,88,0,6,292,4,0
0,0,30,27,0,43,440,1,1
1,85,14,72,0,14,267,0,0
1,43,30,31,1,33,72,1,1
0,0,14,20,0,45,71,1,1
1,58,90,67,1,44,109,2,0
1,45,30,66,0,3,28,4,0
1,73,30,86,1,13,26,1,0
1,57,30,13,1,13,334,0,0
1,52,30,95,1,15,432,3,0
1,80,180,16,1,6,475,1,1
1,62,30,70,0,31,382,4,0
0,0,7,63,0,18,255,2,1
0,0,60,97,0,1,260,0,1
1,50,14,77,1,9,464,2,0
1,40,7,88,1,49,90,3,0
1,63,180,10,0,16,48,1,1
1,93,60,64,0,36,45,1,0
1,46,180,12,1,11,433,4,1
0,0,30,87,1,5,438,1,0
1,60,30,47,1,21,397,0,1
1,54,14,10,0,31,495,3,0
1,40,14,47,0,40,418,2,1
1,51,90,94,1,19,206,3,1
0,0,30,38,1,0,167,1,1
0,0,90,14,0,46,213,2,1
1,54,60,83,1,5,205,4,0
0,0,14,30,1,18,225,3,1
1,58,30,80,0,17,294,2,0
0,0,60,76,1,5,466,2,1
0,0,14,56,1,44,205,2,1
1,64,90,93,0,32,316,0,1
1,72,30,92,0,22,161,3,0
1,88,14,44,0,22,23,2,1
1,71,60,77,0,25,334,3,0
0,0,180,78,0,12,155,2,1
1,74,14,10,0,6,435,4,0
1,83,90,77,1,14,66,4,0
0,0,14,21,0,43,220,4,1
0,0,60,69,0,26,277,1,1
1,50,60,36,1,25,219,2,1
1,74,30,65,1,32,26,1,0
1,47,30,32,1,14,295,3,1
1,85,60,34,1,35,353,1,0
0,0,30,30,1,44,212,3,1
1,49,60,70,0,26,108,3,0
1,41,14,72,0,4,288,3,0
1,85,90,61,1,1,218,1,0
1,48,60,97,1,32,138,2,0
0,0,90,34,1,15,344,1,1
0,0,14,64,0,22,297,2,1
1,65,60,55,1,37,261,2,0
1,47,60,41,1,15,274,3,1
1,87,30,64,1,13,280,1,0
0,0,30,14,1,28,421,2,1
0,0,7,45,1,25,417,4,1
1,67,60,58,0,34,197,2,0
0,0,30,67,0,14,428,4,1
0,0,7,48,0,2,223,1,1
1,65,60,89,1,22,292,1,0
0,0,30,94,0,28,220,1,1
1,51,7,70,0,33,374,2,0
1,44,180,18,1,32,85,0,1
1,73,90,15,0,40,157,2,1
1,87,30,44,1,40,330,2,0
1,76,7,48,0,22,222,3,1
0,0,60,31,1,6,442,3,1
1,83,30,50,0,2,118,2,0
0,0,30,14,1,31,138,4,1
1,54,30,51,0,30,19,3,0
1,82,30,96,0,17,56,2,0
1,87,60,90,0,42,388,0,0
1,62,30,85,1,6,324,4,0
0,0,60,96,1,40,105,1,1
1,85,90,89,0,0,455,2,0
1,89,30,76,1,13,112,2,0
1,83,60,39,1,31,389,4,0
0,0,90,66,0,5,351,3,1
0,0,30,95,0,38,155,3,1
0,0,30,82,1,9,377,3,0
1,60,60,38,1,6,439,1,0
1,62,60,46,1,25,425,4,0
1,82,90,96,0,33,36,4,1
1,94,30,22,0,29,229,3,0
1,55,180,41,0,35,27,3,1
1,86,7,55,0,20,176,0,0
1,92,7,32,1,16,442,0,0
1,99,60,54,1,32,486,2,0
0,0,30,26,1,9,91,2,1
1,64,14,94,1,46,437,4,0
1,75,30,75,0,41,81,4,1
0,0,30,15,0,11,319,1,1
1,90,7,27,1,15,488,1,0
0,0,180,31,1,40,263,0,1
1,43,14,42,0,31,171,2,1
1,60,60,39,0,14,336,0,1
0,0,60,90,1,26,429,0,1
0,0,90,41,0,27,411,2,1
0,0,7,51,0,16,47,1,1
1,73,90,87,1,45,452,2,0
1,53,30,19,0,49,402,3,1
1,43,60,45,1,1,210,3,0
1,87,60,43,0,35,209,3,1
0,0,90,82,0,49,264,4,1
1,91,30,37,0,6,188,1,0
0,0,60,20,0,12,44,1,1
1,66,30,87,1,14,91,4,0
